,E,ratio,solutions,real_solutions,isOpt,Entropy,gamma_1,gamma_2,beta_1,beta_2,formula,MaxObj
9151,2.2791685,0.75972283,110,"['0110', '0101', '0010']",TRUE,0.31464382,0.61036177,1.20664825,0.82941016,0.52906157,"(1, 0, 0, 1, -1, -1, 0, 0, 0, 0, 0, 1, 0, 0, 0)","[3, 3, 3]"
9152,2.43329287,0.81109762,110,"['0110', '0101', '0100', '0010']",TRUE,0.28680508,0.50431054,0.96024065,1.13309868,0.62422303,"(1, 0, 0, 1, -1, -1, 0, 0, 0, 0, -1, 0, 0, 0, 0)","[3, 3, 3, 3]"
9153,2.94057119,0.58811424,110,['0110'],TRUE,0.3450947,0.60838583,1.05791166,1.09988751,0.72800475,"(1, 0, 0, 1, -1, -1, 0, 0, 0, 0, 1, 0, 0, 0, 0)",[5]
9154,3.24541291,0.64908258,110,['0110'],TRUE,0.39992346,0.66095429,1.08592358,1.44321112,0.91123169,"(1, 0, 0, 1, -1, -1, 0, 0, 0, -1, 0, 0, 0, 0, 0)",[5]
9155,2.52326224,0.84108741,10,"['1010', '0110', '0101', '0010']",TRUE,0.30593211,0.56945263,1.05032101,1.12190881,0.52754998,"(1, 0, 0, 1, -1, -1, 0, 0, 0, 1, 0, 0, 0, 0, 0)","[3, 3, 3, 3]"
9156,2.93047216,0.97682405,100,"['1010', '0110', '0101', '0100', '0010']",TRUE,0.4076827,3.70959585,4.26019888,1.39673576,0.74834283,"(1, 0, 0, 1, -1, -1, 0, 0, -1, 0, 0, 0, 0, 0, 0)","[3, 3, 3, 3, 3]"
9157,3.23346314,0.64669263,110,['0110'],TRUE,0.45951818,3.85309276,1.20683354,1.4822696,0.87549104,"(1, 0, 0, 1, -1, -1, 0, 0, 1, 0, 0, 0, 0, 0, 0)",[5]
9158,2.60992898,0.86997633,101,"['1010', '0110', '0101']",TRUE,0.41131383,2.45658028,4.86527759,0.76802498,0.49466202,"(1, 0, 0, 1, -1, -1, 0, -1, 0, 0, 0, 0, 0, 0, 0)","[3, 3, 3]"
9159,3.27085702,0.6541714,110,['0110'],TRUE,0.39760983,2.47637344,5.33329004,1.45849668,0.94828283,"(1, 0, 0, 1, -1, -1, 0, 1, 0, 0, 0, 0, 0, 0, 0)",[5]
9160,3.24541291,0.64908258,110,['0110'],TRUE,0.39992357,0.66095484,1.08592511,1.44321138,0.91123183,"(1, 0, 0, 1, -1, -1, -1, 0, 0, 0, 0, 0, 0, 0, 0)",[5]
